"","scientific_name","longitude","latitude","species_observed"
"383","Aerodramus fuciphagus",131.166105,-13.076645,TRUE
"384","Aerodramus fuciphagus",134.905209,-13.063607,TRUE
"385","Aerodramus fuciphagus",142.447973,-13.062791,TRUE
"386","Aerodramus fuciphagus",130.84885,-13.058555,TRUE
"387","Aerodramus fuciphagus",142.618737,-13.055663,TRUE
"388","Aerodramus fuciphagus",142.67151,-13.05468,TRUE
"389","Aerodramus fuciphagus",131.018908,-13.0541709,TRUE
"390","Aerodramus fuciphagus",132.3305952,-13.0485099,TRUE
"391","Aerodramus fuciphagus",130.910929,-13.047801,TRUE
"392","Aerodramus fuciphagus",135.944537,-13.045645,TRUE
"393","Aerodramus fuciphagus",131.065754,-13.041199,TRUE
"394","Aerodramus fuciphagus",143.0239846,-13.0406721,TRUE
"395","Aerodramus fuciphagus",142.51111,-13.02527,TRUE
"396","Aerodramus fuciphagus",130.9537375,-13.0245757,TRUE
"397","Aerodramus fuciphagus",130.729495,-13.024171,TRUE
"398","Aerodramus fuciphagus",136.212676,-13.023378,TRUE
"399","Aerodramus fuciphagus",134.956091,-13.017478,TRUE
"400","Aerodramus fuciphagus",131.12277,-13.01472,TRUE
"401","Aerodramus fuciphagus",131.001263,-12.999794,TRUE
"402","Aerodramus fuciphagus",132.3079622,-12.9841394,TRUE
"403","Aerodramus fuciphagus",143.0104964,-12.9759696,TRUE
"404","Aerodramus fuciphagus",130.7598411,-12.9673292,TRUE
"405","Aerodramus fuciphagus",132.526694,-12.966592,TRUE
"406","Aerodramus fuciphagus",135.013975,-12.965494,TRUE
"407","Aerodramus fuciphagus",131.1641667,-12.9644444,TRUE
"408","Aerodramus fuciphagus",132.5704036,-12.9314396,TRUE
"409","Aerodramus fuciphagus",131.26636,-12.92626,TRUE
"410","Aerodramus fuciphagus",130.2974138,-12.9228093,TRUE
"411","Aerodramus fuciphagus",135.29417,-12.91028,TRUE
"412","Aerodramus fuciphagus",132.5239663,-12.906196,TRUE
"413","Aerodramus fuciphagus",124.958034,-17.969421,TRUE
"414","Aerodramus fuciphagus",146.095734,-17.968738,TRUE
"415","Aerodramus fuciphagus",122.28896,-17.96852,TRUE
"416","Aerodramus fuciphagus",140.6482708,-17.9656396,TRUE
"417","Aerodramus fuciphagus",122.679993,-17.964638,TRUE
"418","Aerodramus fuciphagus",135.339646,-17.96407,TRUE
"419","Aerodramus fuciphagus",131.2230635,-12.9054791,TRUE
"420","Aerodramus fuciphagus",131.62689,-12.902338,TRUE
"421","Aerodramus fuciphagus",131.14534,-12.902,TRUE
"422","Aerodramus fuciphagus",131.67534,-12.89987,TRUE
"423","Aerodramus fuciphagus",131.9026437,-12.8849218,TRUE
"424","Aerodramus fuciphagus",130.5711164,-12.8842952,TRUE
"425","Aerodramus fuciphagus",143.00972,-12.88306,TRUE
"426","Aerodramus fuciphagus",131.5966231,-12.867769,TRUE
